No.;time;voltage;unit;current;unit
1;0.010036;16.557;V;0;A
2;1.011129;16.557;V;0;A
3;2.010229;16.557;V;0;A
4;3.010223;16.034;V;0;A
5;4.011253;15.759;V;1.267;A
6;5.010526;15.743;V;1.269;A
7;6.049307;15.732;V;1.27;A
8;7.010553;15.725;V;1.271;A
9;8.010620;15.716;V;1.272;A
10;9.010633;15.71;V;1.272;A
11;10.010507;15.702;V;1.273;A
12;11.010549;15.695;V;1.273;A
13;12.010589;15.689;V;1.273;A
14;13.011826;15.682;V;1.274;A
15;14.010631;15.675;V;1.274;A
16;15.010714;15.67;V;1.275;A
17;16.012739;15.664;V;1.275;A
18;17.010820;15.659;V;1.275;A
19;18.010199;15.652;V;1.276;A
20;19.010052;15.646;V;1.277;A
21;20.009912;15.642;V;1.277;A
22;21.025968;15.636;V;1.277;A
23;22.010041;15.63;V;1.278;A
24;23.010034;15.626;V;1.278;A
25;24.012441;15.62;V;1.279;A
26;25.011104;15.616;V;1.28;A
27;26.011327;15.61;V;1.28;A
28;27.010145;15.605;V;1.28;A
29;28.011224;15.602;V;1.28;A
30;29.010284;15.597;V;1.28;A
31;30.010314;15.593;V;1.282;A
32;31.010307;15.588;V;1.281;A
33;32.011850;15.582;V;1.282;A
34;33.012750;15.58;V;1.282;A
35;34.010507;15.574;V;1.283;A
36;35.009522;15.569;V;1.283;A
37;36.009568;15.566;V;1.283;A
38;37.009605;15.562;V;1.283;A
39;38.009840;15.558;V;1.284;A
40;39.009686;15.554;V;1.284;A
41;40.010175;15.549;V;1.285;A
42;41.011187;15.546;V;1.285;A
43;42.011123;15.542;V;1.285;A
44;43.010835;15.538;V;1.285;A
45;44.011242;15.535;V;1.286;A
46;45.009932;15.531;V;1.286;A
47;46.039943;15.528;V;1.286;A
48;47.011138;15.524;V;1.287;A
49;48.010049;15.52;V;1.287;A
50;49.010021;15.518;V;1.287;A
51;50.011597;15.513;V;1.287;A
52;51.010159;15.511;V;1.288;A
53;52.010203;15.507;V;1.288;A
54;53.010058;15.503;V;1.288;A
55;54.009321;15.501;V;1.288;A
56;55.015374;15.497;V;1.289;A
57;56.010502;15.494;V;1.289;A
58;57.010580;15.492;V;1.289;A
59;58.010059;15.488;V;1.289;A
60;59.009501;15.485;V;1.289;A
61;60.010920;15.482;V;1.29;A
62;61.010569;15.479;V;1.29;A
63;62.009628;15.476;V;1.291;A
64;63.010965;15.472;V;1.291;A
65;64.009716;15.47;V;1.292;A
66;65.009743;15.468;V;1.292;A
67;66.025693;15.464;V;1.292;A
68;67.009936;15.462;V;1.292;A
69;68.011349;15.46;V;1.292;A
70;69.009919;15.456;V;1.293;A
71;70.009933;15.454;V;1.292;A
72;71.008992;15.451;V;1.293;A
73;72.010384;15.449;V;1.293;A
74;73.010056;15.446;V;1.294;A
75;74.096102;15.443;V;1.294;A
76;75.009165;15.441;V;1.294;A
77;76.012177;15.438;V;1.294;A
78;77.009267;15.435;V;1.294;A
79;78.010603;15.433;V;1.295;A
80;79.010299;15.431;V;1.294;A
81;80.009307;15.429;V;1.295;A
82;81.009535;15.426;V;1.295;A
83;82.018352;15.423;V;1.295;A
84;83.013520;15.421;V;1.296;A
85;84.009429;15.419;V;1.296;A
86;85.010557;15.417;V;1.296;A
87;86.010099;15.414;V;1.296;A
88;87.027634;15.412;V;1.296;A
