No.;time;voltage;unit;current;unit
1;0.015701;13.333;V;0;A
2;3.026403;13.333;V;0;A
3;6.021848;13.333;V;0;A
4;9.016909;13.287;V;0;A
5;12.027737;12.9;V;3;A
6;15.022995;12.798;V;3;A
7;18.017968;12.726;V;3;A
8;21.028750;12.677;V;3;A
9;24.023944;12.643;V;3;A
10;27.018884;12.622;V;3;A
11;30.029786;12.605;V;3;A
12;33.024958;12.593;V;3;A
13;36.020080;12.586;V;3;A
14;39.015154;12.583;V;3;A
15;42.041112;12.581;V;3;A
16;45.021407;12.58;V;3;A
17;48.016248;12.581;V;3;A
18;51.027445;12.582;V;3;A
19;54.022029;12.583;V;3;A
20;57.017434;12.584;V;3;A
21;60.029603;12.585;V;3;A
22;63.028163;12.587;V;3;A
23;66.022052;12.588;V;3;A
24;69.017915;12.589;V;3;A
25;72.027888;12.591;V;3;A
26;75.023795;12.592;V;3;A
27;78.018629;12.593;V;3;A
28;81.029124;12.595;V;3;A
29;84.024444;12.596;V;3;A
30;87.019665;12.597;V;3;A
31;90.031434;12.598;V;3;A
32;93.025589;12.599;V;3;A
33;96.021013;12.6;V;3;A
34;99.015780;12.601;V;3;A
35;102.027692;12.602;V;3;A
36;105.024776;12.603;V;3;A
37;108.008752;12.603;V;3;A
38;111.008873;12.604;V;3;A
39;114.037899;12.604;V;3;A
40;117.022249;12.605;V;3;A
41;120.033515;12.605;V;3;A
42;123.024303;12.605;V;3;A
43;126.018931;12.605;V;3;A
44;129.014071;12.605;V;3;A
45;132.024472;12.606;V;3;A
46;135.019511;12.606;V;3;A
47;138.014698;12.606;V;3;A
48;141.041121;12.606;V;3;A
49;144.036365;12.606;V;3;A
50;147.015917;12.605;V;3;A
51;150.042152;12.605;V;3;A
52;153.022061;12.605;V;3;A
53;156.016827;12.604;V;3;A
54;159.027790;12.604;V;3;A
55;162.022824;12.604;V;3;A
56;165.033412;12.604;V;3;A
57;168.013328;12.603;V;3;A
58;171.023897;12.603;V;3;A
59;174.019280;12.602;V;3;A
60;177.014424;12.601;V;3;A
61;180.024940;12.601;V;3;A
62;183.020843;12.601;V;3;A
63;186.015246;12.6;V;3;A
64;189.026177;12.599;V;3;A
65;192.021182;12.598;V;3;A
66;195.016218;12.597;V;3;A
67;198.026883;12.597;V;3;A
68;201.022129;12.596;V;3;A
69;204.017430;12.595;V;3;A
70;207.012374;12.594;V;3;A
71;210.023152;12.593;V;3;A
72;213.018361;12.592;V;3;A
73;216.013397;12.591;V;3;A
74;219.024510;12.59;V;3;A
75;222.019590;12.59;V;3;A
76;225.014774;12.589;V;3;A
77;228.025313;12.588;V;3;A
78;231.020253;12.586;V;3;A
79;234.015519;12.586;V;3;A
80;237.026334;12.585;V;3;A
81;240.021481;12.584;V;3;A
82;243.016453;12.583;V;3;A
83;246.011605;12.582;V;3;A
84;249.022713;12.58;V;3;A
85;252.017633;12.579;V;3;A
86;255.013121;12.579;V;3;A
87;258.023796;12.578;V;3;A
88;261.018418;12.576;V;3;A
89;264.013991;12.575;V;3;A
90;267.024885;12.574;V;3;A
91;270.020013;12.573;V;3;A
92;273.015108;12.573;V;3;A
93;276.026172;12.571;V;3;A
94;279.020793;12.571;V;3;A
95;282.015929;12.57;V;3;A
96;285.010842;12.569;V;3;A
97;288.021563;12.569;V;3;A
98;291.016859;12.567;V;3;A
99;294.012399;12.566;V;3;A
100;297.022804;12.565;V;3;A
101;300.017982;12.565;V;3;A
102;303.017341;12.564;V;3;A
103;306.025532;12.563;V;3;A
104;309.020941;12.562;V;3;A
105;312.015907;12.561;V;3;A
106;315.024838;12.561;V;3;A
107;318.019968;12.56;V;3;A
108;321.014952;12.559;V;3;A
109;324.010550;12.559;V;3;A
110;327.020831;12.558;V;3;A
111;330.016297;12.557;V;3;A
112;333.011198;12.556;V;3;A
113;336.021926;12.556;V;3;A
114;339.017091;12.555;V;3;A
115;342.027782;12.555;V;3;A
116;345.023200;12.554;V;3;A
117;348.018111;12.553;V;3;A
118;351.013674;12.553;V;3;A
119;354.039521;12.552;V;3;A
120;357.019392;12.552;V;3;A
121;360.014542;12.551;V;3;A
122;363.010549;12.551;V;3;A
123;366.020721;12.55;V;3;A
124;369.015669;12.55;V;3;A
125;372.010878;12.55;V;3;A
126;375.021329;12.549;V;3;A
127;378.016590;12.549;V;3;A
128;381.011843;12.549;V;3;A
129;384.022606;12.548;V;3;A
130;387.017410;12.548;V;3;A
131;390.012880;12.548;V;3;A
132;393.038902;12.548;V;3;A
133;396.034078;12.547;V;3;A
134;399.013939;12.547;V;3;A
135;402.029340;12.547;V;3;A
136;405.019960;12.547;V;3;A
137;408.014580;12.547;V;3;A
138;411.009812;12.546;V;3;A
139;414.020514;12.546;V;3;A
140;417.015825;12.546;V;3;A
141;420.010924;12.546;V;3;A
142;423.021740;12.545;V;3;A
143;426.016740;12.545;V;3;A
144;429.011854;12.545;V;3;A
145;432.006993;12.545;V;3;A
146;435.017773;12.545;V;3;A
147;438.013055;12.545;V;3;A
148;441.009103;12.544;V;3;A
149;444.019754;12.544;V;3;A
150;447.013836;12.544;V;3;A
151;450.009376;12.544;V;3;A
152;453.020132;12.544;V;3;A
153;456.015236;12.543;V;3;A
154;459.010638;12.543;V;3;A
155;462.021017;12.543;V;3;A
156;465.016047;12.543;V;3;A
157;468.011659;12.543;V;3;A
158;471.006674;12.543;V;3;A
159;474.017146;12.543;V;3;A
160;477.012385;12.543;V;3;A
161;480.007725;12.542;V;3;A
162;483.018427;12.542;V;3;A
163;486.013300;12.542;V;3;A
164;489.008289;12.542;V;3;A
165;492.019476;12.541;V;3;A
166;495.016364;12.541;V;3;A
167;498.009786;12.541;V;3;A
168;501.020518;12.541;V;3;A
169;504.015665;12.541;V;3;A
170;507.010371;12.541;V;3;A
171;510.005850;12.54;V;3;A
172;513.016508;12.541;V;3;A
173;516.011608;12.54;V;3;A
174;519.006937;12.54;V;3;A
175;522.017846;12.54;V;3;A
176;525.012856;12.54;V;3;A
177;528.008097;12.54;V;3;A
178;531.018811;12.54;V;3;A
179;534.013457;12.54;V;3;A
180;537.008893;12.54;V;3;A
181;540.019657;12.54;V;3;A
182;543.014965;12.539;V;3;A
183;546.009760;12.539;V;3;A
184;549.005228;12.539;V;3;A
185;552.015633;12.539;V;3;A
186;555.011276;12.539;V;3;A
187;558.006012;12.539;V;3;A
188;561.016990;12.538;V;3;A
189;564.012150;12.538;V;3;A
190;567.007044;12.538;V;3;A
191;570.017755;12.538;V;3;A
192;573.013271;12.538;V;3;A
193;576.007999;12.537;V;3;A
194;579.018741;12.538;V;3;A
195;582.013894;12.537;V;3;A
196;585.009593;12.537;V;3;A
197;588.004128;12.537;V;3;A
198;591.015056;12.537;V;3;A
199;594.009963;12.536;V;3;A
200;597.005189;12.536;V;3;A
201;600.016274;12.537;V;3;A
202;603.011313;12.536;V;3;A
203;606.006232;12.536;V;3;A
204;609.016942;12.536;V;3;A
205;612.012100;12.536;V;3;A
206;615.007295;12.536;V;3;A
207;618.018370;12.535;V;3;A
208;621.013509;12.535;V;3;A
209;624.008481;12.535;V;3;A
210;627.003376;12.535;V;3;A
211;630.015997;12.534;V;3;A
212;633.009496;12.535;V;3;A
213;636.004875;12.534;V;3;A
214;639.015466;12.535;V;3;A
215;642.010378;12.534;V;3;A
216;645.005969;12.534;V;3;A
217;648.016681;12.534;V;3;A
218;651.011412;12.533;V;3;A
219;654.006857;12.533;V;3;A
220;657.017335;12.533;V;3;A
221;660.012483;12.533;V;3;A
222;663.007860;12.533;V;3;A
223;666.002673;12.533;V;3;A
224;669.014096;12.533;V;3;A
225;672.008577;12.532;V;3;A
226;675.003927;12.532;V;3;A
227;678.014563;12.532;V;3;A
228;681.010017;12.532;V;3;A
229;684.006674;12.532;V;3;A
230;687.015509;12.531;V;3;A
231;690.011153;12.531;V;3;A
232;693.005999;12.531;V;3;A
233;696.017043;12.531;V;3;A
234;699.011969;12.531;V;3;A
235;702.007495;12.531;V;3;A
236;705.002620;12.53;V;3;A
237;708.013013;12.53;V;3;A
238;711.008953;12.53;V;3;A
239;714.003336;12.53;V;3;A
240;717.013962;12.53;V;3;A
241;720.024568;12.53;V;3;A
242;723.004460;12.53;V;3;A
243;726.014764;12.53;V;3;A
244;729.010693;12.529;V;3;A
245;732.005294;12.529;V;3;A
246;735.016025;12.529;V;3;A
247;738.011387;12.529;V;3;A
248;741.006285;12.529;V;3;A
249;744.001316;12.529;V;3;A
250;747.011997;12.528;V;3;A
251;750.007125;12.528;V;3;A
252;753.002342;12.528;V;3;A
253;756.013147;12.528;V;3;A
254;759.008589;12.527;V;3;A
255;762.003984;12.527;V;3;A
256;765.014144;12.527;V;3;A
257;768.009706;12.527;V;3;A
258;771.004538;12.527;V;3;A
259;774.015528;12.527;V;3;A
260;777.010821;12.527;V;3;A
261;780.005458;12.526;V;3;A
262;783.000784;12.526;V;3;A
263;786.011677;12.526;V;3;A
264;789.006815;12.526;V;3;A
265;792.003993;12.526;V;3;A
266;795.012502;12.526;V;3;A
267;798.007727;12.525;V;3;A
268;801.002843;12.525;V;3;A
269;804.013724;12.525;V;3;A
270;807.009065;12.525;V;3;A
271;810.004058;12.524;V;3;A
272;813.015045;12.524;V;3;A
273;816.010096;12.524;V;3;A
274;819.004989;12.524;V;3;A
275;821.999841;12.524;V;3;A
276;825.010811;12.524;V;3;A
277;828.006231;12.523;V;3;A
278;831.001336;12.523;V;3;A
279;834.012040;12.523;V;3;A
280;837.007217;12.523;V;3;A
281;840.002180;12.523;V;3;A
282;843.013168;12.523;V;3;A
283;846.008523;12.522;V;3;A
284;849.003196;12.523;V;3;A
285;852.013865;12.522;V;3;A
286;855.009531;12.522;V;3;A
287;858.004279;12.522;V;3;A
288;860.999181;12.521;V;3;A
289;864.010357;12.521;V;3;A
290;867.005347;12.521;V;3;A
291;870.000266;12.521;V;3;A
292;873.011394;12.521;V;3;A
293;876.006049;12.521;V;3;A
294;879.001301;12.52;V;3;A
295;882.012164;12.52;V;3;A
296;885.007107;12.52;V;3;A
297;888.002286;12.52;V;3;A
298;891.013116;12.52;V;3;A
299;894.008230;12.52;V;3;A
300;897.003345;12.519;V;3;A
301;899.998420;12.519;V;3;A
302;903.009677;12.519;V;3;A
303;906.004546;12.519;V;3;A
304;908.999941;12.518;V;3;A
305;912.010621;12.519;V;3;A
306;915.006175;12.518;V;3;A
307;918.000779;12.518;V;3;A
308;921.011511;12.518;V;3;A
309;924.006683;12.518;V;3;A
310;927.001671;12.518;V;3;A
311;930.012866;12.517;V;3;A
312;933.007719;12.517;V;3;A
313;936.002789;12.517;V;3;A
314;938.998198;12.517;V;3;A
315;942.008460;12.516;V;3;A
316;945.003817;12.517;V;3;A
317;947.998820;12.517;V;3;A
318;951.009923;12.517;V;3;A
319;954.005133;12.516;V;3;A
320;957.000202;12.516;V;3;A
321;960.010646;12.515;V;3;A
322;963.006114;12.515;V;3;A
323;966.001269;12.515;V;3;A
324;969.011783;12.515;V;3;A
325;972.007122;12.515;V;3;A
326;975.001937;12.515;V;3;A
327;977.997188;12.514;V;3;A
328;981.007812;12.514;V;3;A
329;984.003221;12.514;V;3;A
330;986.998398;12.514;V;3;A
331;990.009216;12.514;V;3;A
332;993.004305;12.514;V;3;A
333;995.999463;12.514;V;3;A
334;999.010237;12.514;V;3;A
335;1002.005389;12.513;V;3;A
336;1005.000331;12.513;V;3;A
337;1008.011924;12.513;V;3;A
338;1011.006433;12.513;V;3;A
339;1014.001212;12.512;V;3;A
340;1016.996306;12.512;V;3;A
341;1020.007292;12.512;V;3;A
342;1023.002440;12.512;V;3;A
343;1025.997388;12.512;V;3;A
344;1029.008309;12.512;V;3;A
345;1032.003287;12.512;V;3;A
346;1034.999263;12.511;V;3;A
347;1038.009217;12.511;V;3;A
348;1041.004551;12.511;V;3;A
349;1043.999622;12.51;V;3;A
350;1047.010604;12.51;V;3;A
351;1050.005836;12.51;V;3;A
352;1053.000463;12.51;V;3;A
353;1055.995650;12.51;V;3;A
354;1059.007002;12.51;V;3;A
355;1062.002018;12.51;V;3;A
356;1064.996698;12.509;V;3;A
357;1068.008280;12.51;V;3;A
358;1071.002807;12.509;V;3;A
359;1073.997954;12.509;V;3;A
360;1077.008849;12.509;V;3;A
361;1080.003824;12.509;V;3;A
362;1082.999101;12.508;V;3;A
363;1086.010051;12.508;V;3;A
364;1089.005032;12.508;V;3;A
365;1092.000652;12.508;V;3;A
366;1094.995343;12.508;V;3;A
367;1098.006232;12.508;V;3;A
368;1101.004151;12.507;V;3;A
369;1103.999191;12.507;V;3;A
370;1106.994273;12.507;V;3;A
371;1110.005106;12.507;V;3;A
372;1113.000054;12.507;V;3;A
373;1115.994997;12.506;V;3;A
374;1119.006130;12.506;V;3;A
375;1122.001204;12.506;V;3;A
376;1124.996478;12.506;V;3;A
377;1128.006839;12.506;V;3;A
378;1131.005802;12.505;V;3;A
379;1133.997404;12.505;V;3;A
380;1137.008318;12.505;V;3;A
381;1140.003375;12.505;V;3;A
382;1142.998400;12.504;V;3;A
383;1145.993731;12.504;V;3;A
384;1149.004502;12.504;V;3;A
385;1151.999486;12.504;V;3;A
386;1154.994642;12.504;V;3;A
387;1158.005475;12.503;V;3;A
388;1161.000538;12.503;V;3;A
